File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
c_w.l,8.722262%,8337,96,7786,551,0,96
shell.o,6.083718%,5815,109,4886,849,80,29
stm32g4xx_hal_uart.o,5.567936%,5322,0,5298,24,0,0
tasks.o,4.829310%,4616,1288,4548,0,68,1220
stm32g4xx_ll_usb.o,4.751891%,4542,0,4542,0,0,0
stm32g4xx_hal_pcd.o,4.555203%,4354,0,4354,0,0,0
stm32g4xx_hal_tim.o,3.837502%,3668,0,3668,0,0,0
stm32g4xx_hal_adc_ex.o,3.027735%,2894,0,2894,0,0,0
fz_wm.l,2.906374%,2778,0,2778,0,0,0
queue.o,2.887543%,2760,64,2760,0,0,64
arm_cortexM4lf_math.lib,2.456504%,2348,0,296,2052,0,0
stm32g4xx_hal_rcc.o,2.435580%,2328,0,2328,0,0,0
usbd_ctlreq.o,2.319450%,2217,1,2216,0,1,0
stm32g4xx_hal_adc.o,2.205413%,2108,0,2108,0,0,0
arm_common_tables.o,2.146825%,2052,0,0,2052,0,0
btod.o,2.025465%,1936,0,1936,0,0,0
app_freertos.o,1.820407%,1740,48,1644,48,48,0
stm32g4xx_hal_spi.o,1.617442%,1546,0,1546,0,0,0
timers.o,1.399830%,1338,300,1318,0,20,280
usbd_cdc.o,1.394599%,1333,271,1062,0,271,0
foc.o,1.230344%,1176,272,1176,0,0,272
stm32g4xx_hal_dma.o,1.140370%,1090,0,1090,0,0,0
_printf_fp_dec.o,1.102707%,1054,0,1054,0,0,0
stm32g4xx_hal_rcc_ex.o,1.096429%,1048,0,1048,0,0,0
port.o,1.073413%,1026,12,1014,0,12,0
usbd_conf.o,1.035749%,990,1276,990,0,0,1276
my_foc.o,1.004363%,960,0,960,0,0,0
calibration.o,0.991808%,948,0,948,0,0,0
uartshell.o,0.919620%,879,0,592,287,0,0
usbd_core.o,0.910204%,870,0,870,0,0,0
stm32g4xx_hal_tim_ex.o,0.908111%,868,0,868,0,0,0
shell_ext.o,0.885095%,846,0,846,0,0,0
daddsub_clz.o,0.864170%,826,0,826,0,0,0
_printf_fp_hex.o,0.839061%,802,0,764,38,0,0
heap_4.o,0.790936%,756,30752,724,0,32,30720
mc_fsm.o,0.786751%,752,16,736,0,16,0
ddiv.o,0.719793%,688,0,688,0,0,0
tim.o,0.715608%,684,152,684,0,0,152
startup_stm32g474xx.o,0.560769%,536,1536,64,472,0,1536
stm32g4xx_hal_gpio.o,0.491719%,470,0,470,0,0,0
usbd_desc.o,0.489627%,468,594,386,0,82,512
m_wm.l,0.483350%,462,0,462,0,0,0
cmsis_os2.o,0.454056%,434,1732,430,0,4,1728
utils.o,0.451963%,432,0,432,0,0,0
pid.o,0.439409%,420,0,420,0,0,0
__printf_flags_ss_wp.o,0.427900%,409,0,392,17,0,0
dsqrt_umaal.o,0.426854%,408,0,408,0,0,0
encoder.o,0.414300%,396,32,396,0,0,32
adc.o,0.414300%,396,108,396,0,0,108
bigflt0.o,0.393375%,376,0,228,148,0,0
stm32g4xx_hal_uart_ex.o,0.393375%,376,0,360,16,0,0
bsp_spi_mt6816.o,0.355712%,340,0,336,4,0,0
drem_clz.o,0.351527%,336,0,336,0,0,0
usart.o,0.351527%,336,244,336,0,0,244
lc_ctype_c.o,0.330603%,316,0,44,272,0,0
stm32g4xx_hal_pwr_ex.o,0.313863%,300,0,300,0,0,0
bsp_usart.o,0.276200%,264,64,200,0,64,0
fmod.o,0.272015%,260,0,260,0,0,0
stm32g4xx_hal_cortex.o,0.269922%,258,0,258,0,0,0
chry_ringbuffer.o,0.265738%,254,0,254,0,0,0
pwm_curr.o,0.257368%,246,6,240,0,6,0
lludivv7m.o,0.248998%,238,0,238,0,0,0
shell_port.o,0.239582%,229,1149,228,0,1,1148
gpio.o,0.238536%,228,0,228,0,0,0
usbd_cdc_if.o,0.234351%,224,4116,204,0,20,4096
main.o,0.230166%,220,4,216,0,4,0
spi.o,0.209242%,200,100,200,0,0,100
_printf_wctomb.o,0.205057%,196,0,188,8,0,0
_printf_hex_int_ll_ptr.o,0.196688%,188,0,148,40,0,0
_printf_intcommon.o,0.186226%,178,0,178,0,0,0
usbd_ioreq.o,0.182041%,174,0,174,0,0,0
dnaninf.o,0.163209%,156,0,156,0,0,0
stm32g4xx_hal_timebase_tim.o,0.163209%,156,76,156,0,0,76
arm_cos_f32.o,0.159024%,152,0,152,0,0,0
strncmp.o,0.156932%,150,0,150,0,0,0
list.o,0.154839%,148,0,148,0,0,0
arm_sin_f32.o,0.150654%,144,0,144,0,0,0
fnaninf.o,0.146470%,140,0,140,0,0,0
rt_memcpy_v6.o,0.144377%,138,0,138,0,0,0
lludiv10.o,0.144377%,138,0,138,0,0,0
stm32g4xx_it.o,0.140192%,134,0,134,0,0,0
strcmpv7m.o,0.133915%,128,0,128,0,0,0
_printf_fp_infnan.o,0.133915%,128,0,128,0,0,0
_printf_longlong_dec.o,0.129730%,124,0,124,0,0,0
sqrt.o,0.127638%,122,0,122,0,0,0
_printf_dec.o,0.125545%,120,0,120,0,0,0
usr_config.o,0.121360%,116,52,116,0,0,52
stm32g4xx_hal.o,0.119268%,114,12,102,0,12,0
_printf_oct_int_ll.o,0.117176%,112,0,112,0,0,0
stm32g4xx_hal_pcd_ex.o,0.112991%,108,0,108,0,0,0
rt_memcpy_w.o,0.104621%,100,0,100,0,0,0
d2f.o,0.102529%,98,0,98,0,0,0
__dczerorl2.o,0.094159%,90,0,90,0,0,0
f2d.o,0.089974%,86,0,86,0,0,0
_printf_str.o,0.085789%,82,0,82,0,0,0
dma.o,0.083697%,80,0,80,0,0,0
rt_memclr_w.o,0.081604%,78,0,78,0,0,0
_printf_pad.o,0.081604%,78,0,78,0,0,0
usb_device.o,0.079512%,76,720,76,0,0,720
stm32g4xx_hal_msp.o,0.079512%,76,0,76,0,0,0
sys_stackheap_outer.o,0.077420%,74,0,74,0,0,0
strcpy.o,0.075327%,72,0,72,0,0,0
lc_numeric_c.o,0.075327%,72,0,44,28,0,0
rt_memclr.o,0.071142%,68,0,68,0,0,0
_wcrtomb.o,0.066958%,64,0,64,0,0,0
strlen.o,0.064865%,62,0,62,0,0,0
vsnprintf.o,0.054403%,52,0,52,0,0,0
__scatter.o,0.054403%,52,0,52,0,0,0
fpclassify.o,0.050218%,48,0,48,0,0,0
_printf_char_common.o,0.050218%,48,0,48,0,0,0
system_stm32g4xx.o,0.050218%,48,4,20,24,4,0
_printf_wchar.o,0.046033%,44,0,44,0,0,0
_printf_char.o,0.046033%,44,0,44,0,0,0
__2sprintf.o,0.046033%,44,0,44,0,0,0
_printf_charcount.o,0.041848%,40,0,40,0,0,0
_printf_truncate.o,0.037664%,36,0,36,0,0,0
libinit2.o,0.035571%,34,0,34,0,0,0
dunder.o,0.033479%,32,0,32,0,0,0
__scatter_zi.o,0.029294%,28,0,28,0,0,0
_rserrno.o,0.023017%,22,0,22,0,0,0
exit.o,0.018832%,18,0,18,0,0,0
rt_ctype_table.o,0.016739%,16,0,16,0,0,0
aeabi_memset.o,0.016739%,16,0,16,0,0,0
_snputc.o,0.016739%,16,0,16,0,0,0
__printf_wp.o,0.014647%,14,0,14,0,0,0
dretinf.o,0.012555%,12,0,12,0,0,0
sys_exit.o,0.012555%,12,0,12,0,0,0
__rtentry2.o,0.012555%,12,0,12,0,0,0
fretinf.o,0.010462%,10,0,10,0,0,0
fpinit.o,0.010462%,10,0,10,0,0,0
rtexit2.o,0.010462%,10,0,10,0,0,0
_sputc.o,0.010462%,10,0,10,0,0,0
_printf_ll.o,0.010462%,10,0,10,0,0,0
_printf_l.o,0.010462%,10,0,10,0,0,0
rt_locale_intlibspace.o,0.008370%,8,0,8,0,0,0
rt_errno_addr_intlibspace.o,0.008370%,8,0,8,0,0,0
libspace.o,0.008370%,8,96,8,0,0,96
__main.o,0.008370%,8,0,8,0,0,0
heapauxi.o,0.006277%,6,0,6,0,0,0
_printf_x.o,0.006277%,6,0,6,0,0,0
_printf_u.o,0.006277%,6,0,6,0,0,0
_printf_s.o,0.006277%,6,0,6,0,0,0
_printf_p.o,0.006277%,6,0,6,0,0,0
_printf_o.o,0.006277%,6,0,6,0,0,0
_printf_n.o,0.006277%,6,0,6,0,0,0
_printf_ls.o,0.006277%,6,0,6,0,0,0
_printf_llx.o,0.006277%,6,0,6,0,0,0
_printf_llu.o,0.006277%,6,0,6,0,0,0
_printf_llo.o,0.006277%,6,0,6,0,0,0
_printf_lli.o,0.006277%,6,0,6,0,0,0
_printf_lld.o,0.006277%,6,0,6,0,0,0
_printf_lc.o,0.006277%,6,0,6,0,0,0
_printf_i.o,0.006277%,6,0,6,0,0,0
_printf_g.o,0.006277%,6,0,6,0,0,0
_printf_f.o,0.006277%,6,0,6,0,0,0
_printf_e.o,0.006277%,6,0,6,0,0,0
_printf_d.o,0.006277%,6,0,6,0,0,0
_printf_c.o,0.006277%,6,0,6,0,0,0
_printf_a.o,0.006277%,6,0,6,0,0,0
__rtentry4.o,0.006277%,6,0,6,0,0,0
printf2.o,0.004185%,4,0,4,0,0,0
printf1.o,0.004185%,4,0,4,0,0,0
_printf_percent_end.o,0.004185%,4,0,4,0,0,0
use_no_semi.o,0.002092%,2,0,2,0,0,0
rtexit.o,0.002092%,2,0,2,0,0,0
libshutdown2.o,0.002092%,2,0,2,0,0,0
libshutdown.o,0.002092%,2,0,2,0,0,0
libinit.o,0.002092%,2,0,2,0,0,0
bsp.o,0.002092%,2,0,2,0,0,0
